NDVI,LST,THERMAL_ANOMALIES,CLASS
0.130482,13814.125,4.3125,no_fire
0.587878,14564,5,no_fire
0.536745,14244.75,5,no_fire
0.634218,14500.59934,4.623188,no_fire
0.698006,14874,3,fire
0.515248,14297.66667,5,no_fire
0.624118,15088.64789,4.915493,no_fire
0.618764,14971.77778,4.333333,no_fire
0.515752,14844.55263,4.894981,fire
0.50801,15308.88235,6.380952,fire
0.14337,13760.66667,4.888889,no_fire
0.616006,14610,5,no_fire
0.610716,15035,5,no_fire
0.669458,14507.8475,4.508532,no_fire
0.645072,14845,5,no_fire
0.495869,14564.54032,4.8125,no_fire
0.579521,15032.13433,4.983051,no_fire
0.550884,14737.81081,4.972973,no_fire
0.566751,14277,4,no_fire
0.58807,14237.58955,4.313253,no_fire
0.655654,14509.76316,4.662162,no_fire
0.469593,14603.62745,4.470968,fire
0.472267,14899.78431,4.546075,no_fire
0.537299,14793.11765,5,no_fire
0.707885,14463.61503,4.922921,no_fire
0.515843,15075.11304,4.965217,no_fire
0.537155,14974.5,5,no_fire
0.582378,14035.08333,4.444444,no_fire
0.606958,14498,5,no_fire
0.556868,15032.6,4,fire
0.634759,14196,3,no_fire
0.538456,15011.48185,4.295652,no_fire
0.534588,15085.73529,5,no_fire
0.63856,14656,5,no_fire
0.319861,14118.33333,3.875,no_fire
0.473636,15611.57051,4.661202,no_fire
0.472834,15214.68,5.608696,fire
0.515455,14593.76,5,no_fire
0.484558,14191.875,4.179299,no_fire
0.709763,14389,5,no_fire
0.553826,14553.5,4.5,no_fire
0.695231,14274.5,5,no_fire
0.512105,14005,4,no_fire
0.568952,14285.86047,4.901408,no_fire
0.500036,14770.01915,4.62845,no_fire
0.631085,14880,5,fire
0.509767,14552.5,4,no_fire
0.431869,14617.72523,4.486446,no_fire
0.572342,15251,9,fire
0.688899,14595.48148,4.962963,no_fire
0.668532,14543,5,no_fire
0.583612,14574,5,no_fire
0.497435,14534,5,no_fire
0.515075,14712,3.5,no_fire
0.699087,13987.01149,4.429363,no_fire
0.552452,14493.33333,5,fire
0.589768,14772.66667,4.4,no_fire
0.588323,13762.42857,4.705882,no_fire
0.483698,14180.36066,4.944535,no_fire
0.63523,14740,3,no_fire
0.580253,15022.03659,4.697561,fire
0.442523,14678.7,4.607843,no_fire
0.602914,14921,5,no_fire
0.64596,14516.66071,5.309524,fire
0.587937,14218,5,no_fire
0.685834,13836.9,4.99169,no_fire
0.537944,13997,3,no_fire
0.667157,14469,5,no_fire
0.665819,14310,4.824324,fire
0.679133,14951,5,no_fire
0.469879,15014.80749,4.559727,fire
0.474252,14333,5,no_fire
0.473636,15611.57051,4.661202,no_fire
0.515379,14857.94444,4.888889,no_fire
0.525014,14660,3,no_fire
0.605861,14479.7,5,no_fire
0.639072,14913,5,no_fire
0.585609,15259.02941,5,no_fire
0.696477,14658,3,no_fire
0.582252,14357,5,no_fire
0.624118,15088.64789,4.915493,no_fire
0.539537,14745,3,no_fire
0.575282,14963,5,no_fire
0.61157,14986.21429,4.285714,no_fire
0.543776,15174.35256,5.144068,fire
0.537051,15332,5,no_fire
0.586352,14801.58273,4.333333,no_fire
0.464733,14729.06832,4.99169,no_fire
0.667998,14198.16667,4.927536,no_fire
0.529811,14861.06742,4.947826,no_fire
0.560765,14380.61765,5,no_fire
0.580538,14738,3,no_fire
0.579751,14973.20975,4.963983,fire
0.494559,14739.76364,5,fire
0.604216,14320.5,3,no_fire
0.3843,14682,4.816901,fire
0.605759,14912.38983,4.874317,fire
0.686328,14831.5,5,no_fire
0.567085,14541,5,no_fire
0.506841,14545.125,4.763458,no_fire
0.658547,14832,5,fire
0.534065,15143.07407,5,fire
0.487356,14949.31579,5,fire
0.522958,14443.875,4.842105,fire
0.572166,14040.24074,4.103448,no_fire
0.688334,14644.75,5,no_fire
0.556998,14530.75,5,no_fire
0.537218,14702,5,no_fire
0.588443,14224.18841,4.556604,no_fire
0.626398,14517.40956,4.767918,no_fire
0.472408,14805.77778,4.077079,fire
0.653523,14785.70588,4.146789,fire
0.628137,14394.09091,4.142202,no_fire
0.518381,15004.97059,5,fire
0.604867,14608.8,5,no_fire
0.486992,14342.39024,5,no_fire
0.592968,14682,3,no_fire
0.50015,14200,4,no_fire
0.507274,14241.18293,4.886957,no_fire
0.534665,14756,5,no_fire
0.60672,14638.85714,4.619048,no_fire
0.673325,14567.83333,4.444444,no_fire
0.627254,14770.3617,4.914894,no_fire
0.669915,14827.10345,5,no_fire
0.613768,14605.67442,4.348837,no_fire
0.550011,15079.02632,5,fire
0.676671,14385.71154,4.756592,no_fire
0.604581,14174.33333,5,no_fire
0.615611,14801.33333,4,no_fire
0.494794,15051.36364,4.796875,fire
0.526805,14696,5,no_fire
0.563287,14281.91824,4.932079,no_fire
0.680796,14908.8,5.142857,fire
0.528994,14390.5,5,no_fire
0.560223,15202.42105,5,no_fire
0.473573,14721,4.5,fire
0.515435,14607.21539,4.507937,fire
0.497477,14154.58781,4.663415,no_fire
0.632962,14306.22222,4.056314,no_fire
0.550884,14737.81081,4.972973,no_fire
0.368507,14422,4.833333,no_fire
0.520871,14766.16667,5,no_fire
0.622246,14888.2093,4.395349,no_fire
0.499069,15007,5,no_fire
0.120046,13298.5,3.5,no_fire
0.608305,14512.5,4,no_fire
0.482134,15201.66138,4.926978,fire
0.524378,14653,3,no_fire
0.441518,14699.72694,4.737288,no_fire
0.694617,14533.66667,5,no_fire
0.525014,14660,3,no_fire
0.548235,14757.8,5,no_fire
0.551964,15471.55556,4.925926,no_fire
0.560194,14659,4,no_fire
0.536222,14807,3,no_fire
0.10731,13792.2,5,no_fire
0.441966,15467.62836,4.902481,fire
0.478873,15154.5,4.982456,fire
0.528675,13954,5,no_fire
0.563776,14171.33333,4.777778,no_fire
0.566519,14123,4.966102,no_fire
0.525051,15011.69697,4.302326,fire
0.401609,13863.31818,4.583333,no_fire
0.468812,14643.93617,4.235495,fire
0.640686,14858,3,fire
0.478435,14227,5,no_fire
0.515052,14213.74837,4.934747,no_fire
0.63115,15228,5,no_fire
0.559342,14690.13333,4.625,fire
0.441966,15467.62836,4.902481,fire
0.49346,14705.77143,4.915493,no_fire
0.608144,14449.3,4.904762,no_fire
0.559439,14873,5,no_fire
0.605019,15114,5,no_fire
0.442329,14277.48148,5,no_fire
0.473319,14680.9,4.808511,no_fire
0.579506,14616,5,no_fire
